N_SAMPLES,HEAD_DIM,TILE_SIZE,Matrix Size,CPU,GPU Naive,GPU Flash
512,32,16,1MB,35.38,72.44,29.06
,,32,,47.19,85.81,28.93
,,64,,33.92,60.82,27.76
,64,16,,69.21,55.53,53.33
,,32,,66.32,56.32,52.4
,,64,,67.84,57.14,51.7
,128,16,,141.94,110.78,116.69
,,32,,152.36,110.72,99.41
,,64,,,FAIL,FAIL
1024,32,16,4MB,130.73,60.28,54.95
,,32,,130.68,60.15,52.85
,,64,,132.71,61.24,54.13
,64,16,,27.97,115.25,102.25
,,32,,332.19,116.43,96.41
,,64,,256.64,116.9,98.34
,128,16,,563.06,215.28,187.66
,,32,,537.22,225.18,178.12
,,64,,,FAIL,FAIL
8192,32,16,256MB,2136,663.11,832.24
,,32,,8278,789.47,709.49
,,64,,8873.47,552.02,720.91
,64,16,,16873,1275,2483
,,32,,16886,1303,2081
,,64,,16530,1233,2029
,128,16,,34729,2208,9699
,,32,,34270,2172,8129
,,64,,,FAIL,FAIL
